ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Малое количество на складе","Задержанный заказ возможен?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: yikes_woo_products_tabs" 
,simple,,"7а420 Долбежный станок, 2 единицы",1,0,visible,"Продаем долбежный станок 7а420. В рабочем состоянии, в наличии 2-е единицы.","Цена на долбежный станок 7а420 указана с учетом погрузки на ваш транспорт. Станок полностью комплектен, подключен и готов к проверке. Купить 7а420 можно просто добавив его в корзину. Осмотр производится по предварительной записи по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,145000,Строгальные,,,"https://st-ok.ru/wp-content/uploads/2017/12/7a420.jpg, https://st-ok.ru/wp-content/uploads/2017/12/7a420_2.jpg, https://st-ok.ru/wp-content/uploads/2017/12/7a420_3.jpg, https://st-ok.ru/wp-content/uploads/2017/12/7a420_4.jpg, https://st-ok.ru/wp-content/uploads/2018/12/7a420.jpg, https://st-ok.ru/wp-content/uploads/2018/12/7a420_2.jpg, https://st-ok.ru/wp-content/uploads/2018/12/7a420_3.jpg, https://st-ok.ru/wp-content/uploads/2018/12/7a420_4.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:3235:""<table width=""641""><tbody><tr><td width=""333"">Основные параметры станка</td><td width=""308""></td></tr><tr><td width=""333"">Класс точности станка</td><td width=""308"">Н</td></tr><tr><td width=""333"">Наибольший ход долбяка, мм</td><td width=""308"">20…200</td></tr><tr><td width=""333"">Пределы двойных ходов в минуту</td><td width=""308"">40…163</td></tr><tr><td width=""333"">Диаметр стола, мм</td><td width=""308"">500</td></tr><tr><td width=""333"">Расстояние от плоскости стола до направляющих долбяка, мм</td><td width=""308"">320</td></tr><tr><td width=""333"">Расстояние от долбяка до станины (вылет), мм</td><td width=""308"">480</td></tr><tr><td width=""333"">Установочное регулирование хода долбяка, мм</td><td width=""308"">264</td></tr><tr><td width=""333"">Наибольшее усилие резания, кг</td><td width=""308"">1500</td></tr><tr><td width=""333"">Наибольшие перемещения стола продольные, мм</td><td width=""308"">500</td></tr><tr><td width=""333"">Наибольшие перемещения стола поперечные, мм</td><td width=""308"">400</td></tr><tr><td width=""333"">Наибольшие перемещения стола круговые, град</td><td width=""308"">360</td></tr><tr><td width=""333"">Пределы подач за один двойной ход продольные, мм</td><td width=""308"">0,1…1,2</td></tr><tr><td width=""333"">Пределы подач за один двойной ход поперечные, мм</td><td width=""308"">0,1…1,2</td></tr><tr><td width=""333"">Пределы подач за один двойной ход круговые, град</td><td width=""308"">0,064…0,81</td></tr><tr><td width=""333"">Скорость быстрого перемещения стола продольная, мм/мин</td><td width=""308"">1,8</td></tr><tr><td width=""333"">Скорость быстрого перемещения стола поперечная, мм/мин</td><td width=""308"">1,8</td></tr><tr><td width=""333"">Скорость быстрого перемещения стола круговая, град/сек</td><td width=""308"">3,4</td></tr><tr><td width=""333"">Электрооборудование. Привод</td><td width=""308""></td></tr><tr><td width=""333"">Количество электродвигателей на станке</td><td width=""308"">2</td></tr><tr><td width=""333"">Электродвигатель привода главного движения, кВт</td><td width=""308"">2,8</td></tr><tr><td width=""333"">Электродвигатель ускоренного перемещения стола, кВт</td><td width=""308"">1,1</td></tr><tr><td width=""333"">Габариты и масса станка</td><td width=""308""></td></tr><tr><td width=""333"">Габариты станка (длина ширина высота), мм</td><td width=""308"">230 012 702 175</td></tr><tr><td width=""333"">Масса станка, кг</td><td width=""308"">2240</td></tr></tbody></table>"";}}"
,simple,,"7310д Поперечно-строгальный станок",1,0,visible,"В продаже Поперечно-строгальный станок 7310д.","Цена на станок 7310д указана с учетом погрузки на ваш транспорт. Купить б/у станок можно после осмотра, который проводится по предварительной записи по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,130000,Строгальные,,,"https://st-ok.ru/wp-content/uploads/2018/10/7310d.jpg, https://st-ok.ru/wp-content/uploads/2018/10/7310d_2.jpg, https://st-ok.ru/wp-content/uploads/2018/10/7310d_3.jpg, https://st-ok.ru/wp-content/uploads/2018/10/7310d_4.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:0:"""";}}"
,simple,,"736 Поперечно-строгальный станок",1,0,visible,"В продаже Поперечно-строгальный станок 736. Использовался редко, в отличном состоянии, в комплекте с тисками.","Цена на станок 736 указана с учетом погрузки на ваш транспорт. Купить б/у станок можно после осмотра, который проводится по предварительной записи по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,80000,Строгальные,,,"https://st-ok.ru/wp-content/uploads/2018/11/736.jpg, https://st-ok.ru/wp-content/uploads/2018/11/736_2.jpg, https://st-ok.ru/wp-content/uploads/2018/11/736_3.jpg, https://st-ok.ru/wp-content/uploads/2018/11/736_4.jpg",,,,,,,,,0,
